代码,名称,当前价,ATR,突破信号,建议手数,止损价,潜在突破位(20日最高价),距离突破%,最新日期,加仓机会,加仓目标价列表,PE,PB,ROE
000651,格力电器,38.63,0.65,False,15300,37.33,40.88,5.82,2026-05-25,False,[],N/A,N/A,
000661,长春高新,79.76,1.876,False,5300,76.01,90.0,12.84,2026-05-25,False,[],N/A,N/A,
000708,中信特钢,13.94,0.421,False,23700,13.1,16.37,17.43,2026-05-25,False,[],N/A,N/A,
000725,京东方Ａ,5.27,0.177,True,56600,4.92,5.37,1.9,2026-05-25,True,"[5.36, 5.45, 5.53]",N/A,N/A,
000768,中航西飞,21.8,0.65,False,15300,20.5,25.79,18.3,2026-05-25,False,[],N/A,N/A,
000776,广发证券,19.0,0.598,False,16700,17.8,21.73,14.37,2026-05-25,False,[],N/A,N/A,
000786,北新建材,23.86,0.736,False,13500,22.39,27.06,13.41,2026-05-25,False,[],N/A,N/A,
000792,盐湖股份,31.99,1.553,False,6400,28.88,41.6,30.04,2026-05-25,False,[],N/A,N/A,
000807,云铝股份,29.51,1.336,False,7400,26.84,34.96,18.47,2026-05-25,False,[],N/A,N/A,
000858,五 粮 液,84.14,1.864,False,5300,80.41,102.3,21.58,2026-05-25,False,[],N/A,N/A,
000876,新 希 望,8.06,0.165,False,60500,7.73,8.89,10.3,2026-05-25,False,[],N/A,N/A,
000895,双汇发展,25.81,0.557,False,17900,24.7,29.28,13.44,2026-05-25,False,[],N/A,N/A,
000938,紫光股份,31.04,1.838,False,5400,27.36,34.49,11.11,2026-05-25,False,[],N/A,N/A,
000963,华东医药,29.13,0.751,False,13300,27.63,35.59,22.18,2026-05-25,False,[],N/A,N/A,
000975,山金国际,24.34,1.203,False,8300,21.93,29.77,22.31,2026-05-25,False,[],N/A,N/A,
000977,浪潮信息,69.2,3.952,False,2500,61.3,79.49,14.87,2026-05-25,False,[],N/A,N/A,
000983,山西焦煤,6.63,0.208,False,47900,6.21,7.33,10.56,2026-05-25,False,[],N/A,N/A,
000999,华润三九,24.4,0.356,False,28100,23.69,27.47,12.58,2026-05-25,False,[],N/A,N/A,
001391,国货航,5.26,0.089,False,112100,5.08,5.63,7.03,2026-05-25,False,[],N/A,N/A,
001965,招商公路,10.09,0.216,False,46200,9.66,10.15,0.59,2026-05-25,False,[],N/A,N/A,
001979,招商蛇口,8.64,0.357,False,28000,7.93,10.03,16.09,2026-05-25,False,[],N/A,N/A,
002001,新 和 成,30.61,1.271,False,7800,28.07,35.6,16.3,2026-05-25,False,[],N/A,N/A,
002027,分众传媒,5.51,0.155,False,64600,5.2,6.48,17.6,2026-05-25,False,[],N/A,N/A,
002028,思源电气,203.36,9.759,False,1000,183.84,232.28,14.22,2026-05-25,False,[],N/A,N/A,
002049,紫光国微,85.02,3.268,True,3000,78.48,85.07,0.06,2026-05-25,True,"[86.65, 88.29, 89.92]",N/A,N/A,
002050,三花智控,53.91,2.171,False,4600,49.57,54.98,1.98,2026-05-25,False,[],N/A,N/A,
002074,国轩高科,34.56,1.367,False,7300,31.83,40.8,18.06,2026-05-25,False,[],N/A,N/A,
002142,宁波银行,30.92,0.662,False,15100,29.6,33.88,9.57,2026-05-25,False,[],N/A,N/A,
002179,中航光电,41.0,1.611,False,6200,37.78,42.8,4.39,2026-05-25,False,[],N/A,N/A,
002230,科大讯飞,48.68,1.472,False,6700,45.74,50.88,4.52,2026-05-25,False,[],N/A,N/A,
002236,大华股份,18.11,0.518,False,19200,17.07,18.86,4.14,2026-05-25,False,[],N/A,N/A,
002241,歌尔股份,25.49,0.818,False,12200,23.85,26.24,2.94,2026-05-25,False,[],N/A,N/A,
002252,上海莱士,5.21,0.089,False,112600,5.03,5.74,10.17,2026-05-25,False,[],N/A,N/A,
002304,洋河股份,44.47,0.935,False,10600,42.6,50.5,13.56,2026-05-25,False,[],N/A,N/A,
002311,海大集团,45.07,1.619,False,6100,41.83,51.1,13.38,2026-05-25,False,[],N/A,N/A,
002352,顺丰控股,35.62,0.61,False,16300,34.4,37.81,6.15,2026-05-25,False,[],N/A,N/A,
002371,北方华创,698.19,37.566,False,200,623.06,721.6,3.35,2026-05-25,False,[],N/A,N/A,
002384,东山精密,226.24,13.683,False,700,198.87,230.0,1.66,2026-05-25,False,[],N/A,N/A,
002415,海康威视,32.27,0.992,False,10000,30.29,37.09,14.94,2026-05-25,False,[],N/A,N/A,
002422,科伦药业,34.36,1.405,False,7100,31.55,35.57,3.52,2026-05-25,False,[],N/A,N/A,
002459,晶澳科技,9.64,0.39,False,25600,8.86,11.39,18.15,2026-05-25,False,[],N/A,N/A,
002460,赣锋锂业,75.1,3.697,False,2700,67.71,91.67,22.06,2026-05-25,False,[],N/A,N/A,
002463,沪电股份,122.54,6.087,True,1600,110.37,123.82,1.04,2026-05-25,True,"[125.58, 128.63, 131.67]",N/A,N/A,
